month,no_of_rainy_days,total_rainfall,mean_temp,mean_re_humid,year
01,5,38.3,26.8,79.1,2009
02,8,201.8,27.3,80.7,2009
03,19,223.3,27.2,85.4,2009
04,12,183.7,28.5,82.2,2009
05,17,198.6,28.7,83.0,2009
06,8,21.8,29.1,79.8,2009
07,16,161.0,28.3,80.8,2009
08,12,177.8,28.3,80.7,2009
09,13,109.6,28.3,82.0,2009
10,15,133.4,28.2,82.8,2009
11,23,281.8,27.2,85.6,2009
12,18,189.8,27.1,86.3,2009
01,10,69.5,27.5,82.1,2010
02,4,6.3,28.9,77.3,2010
03,11,238.0,28.6,79.9,2010
04,18,158.5,28.6,84.1,2010
05,17,157.5,29.2,82.2,2010
06,19,240.5,28.3,83.9,2010
07,18,298.5,27.7,84.8,2010
08,16,158.4,27.9,84.2,2010
09,13,121.5,28.0,82.5,2010
10,17,166.2,28.3,82.3,2010
11,21,278.8,27.4,85.9,2010
12,14,181.4,26.8,85.3,2010
01,17,513.2,26.3,85.8,2011
02,8,23.0,27.3,81.1,2011
03,22,256.6,27.1,85.5,2011
04,12,217.8,27.9,83.9,2011
05,15,127.0,28.5,85.3,2011
06,15,213.0,28.4,83.7,2011
07,7,76.6,28.7,81.3,2011
08,13,81.4,27.9,82.6,2011
09,14,136.4,27.8,82.7,2011
10,20,216.8,27.3,87.4,2011
11,24,377.8,27.1,87.8,2011
12,21,284.6,26.6,88.4,2011
01,16,106.1,26.7,87.3,2012
02,11,83.6,27.2,85.6,2012
03,21,313.4,27.0,87.3,2012
04,20,260.6,27.6,85.1,2012
05,19,292.0,28.2,83.1,2012
06,8,53.0,28.7,79.0,2012
07,17,130.8,27.7,81.1,2012
08,12,119.0,27.9,79.8,2012
09,10,107.6,27.9,79.7,2012
10,13,122.2,27.7,81.3,2012
11,22,208.2,27.1,85.4,2012
12,22,363.4,26.7,87.0,2012
01,15,262.0,27.1,82.1,2013
02,22,395.2,26.5,86.9,2013
03,10,85.8,28.3,80.4,2013
04,19,159.4,28.2,82.7,2013
05,17,211.4,28.2,83.1,2013
06,12,111.4,29.0,74.6,2013
07,15,174.6,27.8,79.9,2013
08,15,165.6,27.9,79.0,2013
09,19,257.0,27.5,81.3,2013
10,19,285.4,27.7,79.9,2013
11,22,292.4,27.1,84.6,2013
12,21,348.2,26.5,85.8,2013
01,5,75.4,26.2,78.5,2014
02,1,0.2,27.2,74.5,2014
03,6,66.0,27.9,76.0,2014
04,17,110.0,28.2,80.0,2014
05,18,125.8,28.6,80.2,2014
06,11,71.4,29.0,77.5,2014
07,15,148.6,28.7,78.3,2014
08,20,241.0,27.7,79.7,2014
09,9,83.6,28.5,75.6,2014
10,10,120.0,28.4,77.0,2014
11,23,250.8,27.5,82.4,2014
12,17,245.6,27.0,82.6,2014
01,6,79.6,26.9,77.6,2015
02,6,18.8,27.0,75.4,2015
03,5,84.4,28.2,75.8,2015
04,13,73.2,28.6,77.1,2015
05,12,89.0,28.7,78.9,2015
06,10,95.8,29.0,75.8,2015
07,13,116.8,29.1,74.9,2015
08,11,185.8,28.4,76.7,2015
09,8,61.6,28.7,75.0,2015
10,9,87.2,28.7,75.4,2015
11,13,72.6,28.0,79.1,2015
12,19,302.3,27.7,81.1,2015
01,15,126.6,28.3,79.6,2016
02,10,186.0,27.8,78.8,2016
03,6,6.2,29.0,74.7,2016
04,14,89.8,29.4,75.6,2016
05,12,193.8,29.3,77.4,2016
06,13,162.8,28.5,77.7,2016
07,20,168.6,28.4,77.3,2016
08,15,139.2,28.9,74.0,2016
